year,inflation_multiplier
1934,12
1935,12
1936,12
1937,12
1938,12
1939,12
1940,12
1941,12
1942,12
1943,12
1944,12
1945,12
1946,12
1947,11.11111111
1948,10
1949,10
1950,10
1951,9.090909091
1952,9.090909091
1953,9.090909091
1954,9.090909091
1955,9.090909091
1956,9.090909091
1957,8.333333333
1958,8.333333333
1959,8.333333333
1960,8.333333333
1961,7.692307692
1962,7.692307692
1963,7.692307692
1964,7.692307692
1965,7.692307692
1966,7.142857143
1967,7.142857143
1968,6.666666667
1969,6.666666667
1970,6.25
1971,5.882352941
1972,5.555555556
1973,5.263157895
1974,4.761904762
1975,4.347826087
1976,4.166666667
1977,3.846153846
1978,3.571428571
1979,3.225806452
1980,2.857142857
1981,2.631578947
1982,2.43902439
1983,2.380952381
1984,2.272727273
1985,2.222222222
1986,2.173913043
1987,2.083333333
1988,2
1989,1.923076923
1990,1.818181818
1991,1.754385965
1992,1.694915254
1993,1.639344262
1994,1.587301587
1995,1.5625
1996,1.515151515
1997,1.470588235
1998,1.449275362
1999,1.428571429
2000,1.369863014
2001,1.333333333
2002,1.315789474
2003,1.282051282
2004,1.25
2005,1.219512195
2006,1.176470588
2007,1.149425287
2008,1.098901099
2009,1.098901099
2010,1.086956522
2011,1.052631579
2012,1.030927835
2013,1.020408163
2014,1
2015,1
2016,0.99009901
2017,0.970873786
